project_id,bug_id,sloc,sloc_total
Closure,3700445,37967,85835
Closure,3700446,37967,85835
Closure,3700447,37966,85834
Closure,3800113,27490,85614
Closure,3800114,27490,85614
Closure,3800115,27490,85614
Closure,3800116,27490,85614
Closure,3800117,27490,85614
Closure,3800118,27490,85614
Closure,3800119,27490,85614
Closure,3800120,27490,85614
Closure,3800121,27490,85614
Closure,3900157,7093,85473
Closure,3900159,7094,85474
Closure,3900160,7094,85474
Closure,3900161,7094,85474
Closure,3900162,7094,85474
Closure,3900163,7094,85474
Closure,3900164,7094,85474
Closure,4000121,40614,85467
Closure,4100065,35822,85356
Closure,4100184,35823,85357
Closure,4100185,35823,85357
Closure,4100186,35823,85357
Closure,4100187,35823,85357
Closure,4100188,35823,85357
Closure,4100189,35823,85357
Closure,4100190,35823,85357
Closure,4100191,35822,85356
Closure,4100192,35822,85356
Closure,4200207,8762,85341
Closure,4200208,8762,85341
Closure,4200209,8758,85337
Closure,4300131,35803,85332
Closure,4300132,35803,85332
Closure,4300133,35803,85332
Closure,4300134,35803,85332
Closure,4300135,35803,85332
Closure,4300136,35803,85332
Closure,4300137,35802,85331
Closure,4300138,35802,85331
Closure,4300139,35802,85331
Closure,4300140,35802,85331
Closure,4300141,35802,85331
Closure,4300155,35803,85332
Closure,4300156,35803,85332
Closure,4300157,35803,85332
Closure,4300158,35802,85331
Closure,4300159,35802,85331
Closure,4300160,35802,85331
Closure,4300161,35802,85331
Closure,4300162,35803,85332
Closure,4300163,35802,85331
Closure,4300164,35802,85331
Closure,4400061,26593,84185
Closure,4400062,26593,84185
Closure,4400063,26593,84185
Closure,4400064,26593,84185
Closure,4400065,26593,84185
Closure,4400066,26593,84185
Closure,4400067,26593,84185
Closure,4400068,26593,84185
Closure,4400069,26593,84185
Closure,4400070,26593,84185
Closure,4400071,26592,84184
Closure,4500292,33075,84152
Closure,4500300,33075,84152
Closure,4500301,33075,84152
Closure,4500302,33075,84152
Closure,4500303,33074,84151
Closure,4500304,33075,84152
Closure,4500305,33075,84152
Closure,4500306,33075,84152
Closure,4500307,33075,84152
Closure,4500308,33075,84152
Closure,4500309,33075,84152
Closure,4500310,33075,84152
Closure,4500375,33075,84152
Closure,4700232,36721,84040
Closure,4700233,36721,84040
Closure,4700234,36721,84040
Closure,4700235,36721,84040
Closure,4700236,36721,84040
Closure,4700237,36721,84040
Closure,4700238,36721,84040
Closure,4700239,36721,84040
Closure,4700240,36721,84040
Closure,4700241,36721,84040
Closure,4700242,36721,84040
Closure,4700243,36721,84040
Closure,4700316,36721,84040
Closure,4700317,36721,84040
Closure,4700318,36720,84039
Closure,4700319,36720,84039
Closure,4700320,36720,84039
Closure,4700321,36721,84040
Closure,4700322,36721,84040
Closure,4700323,36720,84039
Closure,4700324,36721,84040
Closure,4700325,36721,84040
Closure,4700326,36721,84040
Closure,4700327,36721,84040
Closure,4700328,36717,84036
Closure,4800617,34239,83918
Closure,4800618,34239,83918
Closure,4800619,34239,83918
Closure,4800620,34239,83918
Closure,4800621,34239,83918
Closure,4800622,34239,83918
Closure,4800623,34239,83918
Closure,4800624,34239,83918
Closure,4800625,34238,83917
Closure,4800626,34238,83917
Closure,4800627,34238,83917
Closure,4800628,34238,83917
Closure,4800629,34239,83918
Closure,4800630,34238,83917
Closure,4900013,37643,91677
Closure,4900014,37643,91677
Closure,4900033,37642,91676
Closure,4900034,37642,91676
Closure,4900035,37643,91677
Closure,4900036,37643,91677
Closure,4900037,37643,91677
Closure,4900038,37642,91676
Closure,4900039,37643,91677
Closure,4900040,37642,91676
Closure,4900054,37642,91676
Closure,4900056,37642,91676
Closure,5000206,32230,91394
Closure,5000207,32230,91394
Closure,5000208,32230,91394
Closure,5000209,32230,91394
Closure,5000217,32230,91394
Closure,5000218,32230,91394
Closure,5000219,32230,91394
Closure,5000220,32230,91394
Closure,5000221,32230,91394
Closure,5000222,32230,91394
Closure,5000223,32230,91394
Closure,5000224,32230,91394
Closure,5000225,32229,91393
Closure,5000226,32229,91393
Closure,5000227,32229,91393
Closure,5000228,32229,91393
Closure,5000229,32229,91393
Closure,5100109,26522,91281
Closure,5100110,26522,91281
Closure,5100111,26522,91281
Closure,5100112,26522,91281
Closure,5100113,26522,91281
Closure,5200559,26522,91033
Closure,5200560,26522,91033
Closure,5200561,26522,91033
Closure,5200562,26522,91033
Closure,5200563,26522,91033
Closure,5200564,26522,91033
Closure,5200565,26522,91033
Closure,5200566,26522,91033
Closure,5200567,26522,91033
Closure,5200568,26522,91033
Closure,5200569,26522,91033
Closure,5200570,26522,91033
Closure,5300122,32808,90349
Closure,5300123,32808,90349
Closure,5300124,32808,90349
Closure,5400077,39096,89774
Closure,5400078,39096,89774
Closure,5400079,39096,89774
Closure,5400080,39095,89773
Closure,5400081,39095,89773
Closure,5400082,39095,89773
Closure,5400083,39094,89772
Closure,5400084,39094,89772
Closure,5400085,39094,89772
Closure,5400086,39094,89772
Closure,5400092,39097,89775
Closure,5400093,39097,89775
Closure,5400098,39097,89775
Closure,5400997,39097,89775
Closure,5400998,39096,89774
Closure,5400999,39097,89775
Closure,5401000,39097,89775
Closure,5401001,39095,89773
Closure,5401002,39095,89773
Closure,5401003,39095,89773
Closure,5401004,39097,89775
Closure,5500021,36066,89488
Closure,5500022,36066,89488
Closure,5500023,36066,89488
Closure,5600037,24137,89346
Closure,5600038,24137,89346
Closure,5600039,24137,89346
Closure,5700073,24885,89235
Closure,5700074,24885,89235
Closure,5700075,24885,89235
Closure,5700076,24885,89235
Closure,5700077,24885,89235
Closure,5700078,24885,89235
Closure,5700079,24885,89235
Closure,5800042,29850,89122
Closure,5800044,29849,89121
Closure,5900024,52583,87932
Closure,5900025,52583,87932
Closure,5900026,52583,87932
Closure,6000021,56690,87377
Closure,6000034,56690,87377
Closure,6000035,56690,87377
Closure,6000037,56689,87376
Closure,6100373,30740,87208
Closure,6100374,30740,87208
Closure,6100375,30740,87208
Closure,6100376,30740,87208
Closure,6100377,30740,87208
Closure,6100378,30740,87208
Closure,6100379,30740,87208
Closure,6200021,385,87210
Closure,6200022,384,87209
Closure,6200023,385,87210
Closure,6200024,385,87210
Closure,6200025,384,87209
Closure,6300021,385,87208
Closure,6300022,385,87208
Closure,6300023,385,87208
Closure,6300024,385,87208
Closure,6300025,385,87208
Closure,6400256,48258,86607
Closure,6400257,48258,86607
Closure,6400258,48258,86607
Closure,6400259,48258,86607
Closure,6400284,48258,86607
Closure,6400285,48257,86606
Closure,6400286,48257,86606
Closure,6400287,48257,86606
Closure,6400288,48256,86605
Closure,6500715,25332,86563
Closure,6500716,25332,86563
Closure,6600101,33380,86477
Closure,6600102,33379,86476
Closure,6700147,30647,86457
Closure,6700148,30647,86457
Closure,6700149,30647,86457
Closure,6700150,30647,86457
Closure,6700151,30646,86456
Closure,6700152,30646,86456
Closure,6700153,30646,86456
Closure,6700154,30646,86456
Closure,6700155,30647,86457
Closure,6700156,30647,86457
Closure,6700157,30645,86455
Closure,6700158,30645,86455
Closure,6700159,30645,86455
Closure,6700160,30645,86455
Closure,6800409,11296,86442
Closure,6800721,11296,86442
Closure,6800753,11296,86442
Closure,6900581,33772,86473
Closure,6900582,33772,86473
Closure,6900583,33772,86473
Closure,6900584,33771,86472
Closure,6900585,33771,86472
Closure,6900586,33771,86472
Closure,6900587,33771,86472
Closure,6900588,33773,86474
Closure,6900589,33773,86474
Closure,6900590,33773,86474
Closure,6900591,33772,86473
Closure,6900592,33772,86473
Closure,6900593,33769,86470
Closure,6900594,33769,86470
Closure,6900595,33769,86470
Closure,6900596,33769,86470
Closure,6900597,33772,86473
Closure,7000797,34453,85977
Closure,7000798,34451,85975
Closure,7100162,33914,83285
Closure,7100163,33914,83285
Closure,7100164,33913,83284
Closure,7100165,33913,83284
Closure,7100166,33913,83284
Closure,7100167,33914,83285
Closure,7100168,33912,83283
Closure,7100169,33912,83283
Closure,7200034,33315,82824
Closure,7200035,33313,82822
Closure,7200177,33315,82824
Closure,7200178,33315,82824
Closure,7200179,33315,82824
Closure,7300878,24643,81657
Closure,7300879,24643,81657
Closure,7300880,24643,81657
Closure,7300881,24643,81657
Closure,7300882,24643,81657
Closure,7300883,24643,81657
Closure,7300884,24643,81657
Closure,7300885,24643,81657
Closure,7300886,24643,81657
Closure,7300887,24643,81657
Closure,7300888,24643,81657
Closure,7300889,24643,81657
Closure,7300890,24643,81657
Closure,7300891,24643,81657
Closure,7400501,30649,81078
Closure,7400502,30649,81078
Closure,7400573,30649,81078
Closure,7400574,30649,81078
Closure,7400575,30649,81078
Closure,7400576,30649,81078
Closure,7400577,30649,81078
Closure,7400578,30649,81078
Closure,7400579,30649,81078
Closure,7500107,29834,80760
Closure,7500108,29834,80760
Closure,7600123,30028,79512
Closure,7600124,30026,79510
Closure,7600125,30028,79512
Closure,7600126,30027,79511
Closure,7600127,30028,79512
Closure,7600128,30028,79512
Closure,7600129,30028,79512
Closure,7600130,30028,79512
Closure,7600131,30028,79512
Closure,7600132,30028,79512
Closure,7600133,30026,79510
Closure,7600134,30027,79511
Closure,7600137,30027,79511
Closure,7600144,30028,79512
Closure,7600157,30027,79511
Closure,7600158,30028,79512
Closure,7600160,30028,79512
Closure,7700699,24474,79436
Closure,7700700,24474,79436
Closure,7900014,29805,79017
Closure,7900344,29807,79019
Closure,8100225,9287,78644
Closure,8100226,9287,78644
Closure,8100227,9287,78644
Closure,8100228,9287,78644
Closure,8100229,9283,78640
Closure,8200013,31496,77822
Closure,8200014,31496,77822
Closure,8200015,31496,77822
Closure,8200016,31496,77822
Closure,8200017,31496,77822
Closure,8200018,31496,77822
Closure,8200019,31495,77821
Closure,8200020,31494,77820
Closure,8200021,31494,77820
Closure,8200022,31494,77820
Closure,8200023,31494,77820
Closure,8300022,42980,77333
Closure,8300023,42980,77333
Closure,8400147,9291,77101
Closure,8400148,9291,77101
Closure,8400149,9291,77101
Closure,8400150,9287,77097
Closure,8400381,9291,77101
Closure,8400382,9291,77101
Closure,8400383,9291,77101
Closure,8400384,9291,77101
Closure,8400385,9291,77101
Closure,8400386,9291,77101
Closure,8400387,9291,77101
Closure,8400388,9291,77101
Closure,8400395,9291,77101
Closure,8400396,9291,77101
Closure,8500047,27658,76880
Closure,8500053,27658,76880
Closure,8500054,27658,76880
Closure,8500055,27658,76880
Closure,8500056,27658,76880
Closure,8500057,27658,76880
Closure,8500058,27658,76880
Closure,8500059,27658,76880
Closure,8500060,27658,76880
Closure,8500061,27657,76879
Closure,8500062,27657,76879
Closure,8600861,35464,76371
Closure,8700261,26938,76280
Closure,8700262,26938,76280
Closure,8700263,26938,76280
Closure,8700264,26938,76280
Closure,8700265,26938,76280
Closure,8700266,26938,76280
Closure,8700267,26938,76280
Closure,8700268,26938,76280
Closure,8700269,26938,76280
Closure,8700270,26938,76280
Closure,8700271,26937,76279
Closure,8700272,26937,76279
Closure,8700273,26937,76279
Closure,8700274,26937,76279
Closure,8700275,26938,76280
Closure,8700276,26938,76280
Closure,8700277,26938,76280
Closure,8800139,44531,76241
Closure,8800140,44531,76241
Closure,8800141,44531,76241
Closure,8800142,44531,76241
Closure,8800143,44531,76241
Closure,8900395,32303,75438
Closure,8900396,32303,75438
Closure,8900397,32303,75438
Closure,8900398,32303,75438
Closure,8900678,32303,75438
Closure,8900679,32303,75438
Closure,8900680,32303,75438
Closure,8900681,32303,75438
Closure,8900682,32302,75437
Closure,9000350,31194,75358
Closure,9000351,31193,75357
Closure,9000399,31193,75357
Closure,9000400,31193,75357
Closure,9100045,28276,75275
Closure,9100046,28276,75275
Closure,9100047,28276,75275
Closure,9100048,28276,75275
Closure,9100049,28275,75274
Closure,9100050,28275,75274
Closure,9100051,28275,75274
Closure,9100052,28274,75273
Closure,9100053,28274,75273
Closure,9100054,28274,75273
Closure,9100055,28274,75273
Closure,9100056,28276,75275
Closure,9200386,25235,75185
Closure,9300386,25200,75109
Closure,9400077,27544,74979
Closure,9400078,27544,74979
Closure,9500516,33622,70978
Closure,9500517,33622,70978
Closure,9500518,33622,70978
Closure,9500519,33622,70978
Closure,9500520,33622,70978
Closure,9500521,33622,70978
Closure,9500522,33622,70978
Closure,9500523,33621,70977
Closure,9500524,33621,70977
Closure,9500525,33621,70977
Closure,9500526,33621,70977
Closure,9500527,33622,70978
Closure,9500528,33622,70978
Closure,9500529,33622,70978
Closure,9500530,33621,70977
Closure,9600526,30285,70757
Closure,9600527,30285,70757
Closure,9600528,30285,70757
Closure,9600529,30285,70757
Closure,9600530,30284,70756
Closure,9600531,30284,70756
Closure,9600532,30284,70756
Closure,9600533,30284,70756
Closure,9600534,30283,70755
Closure,9600535,30283,70755
Closure,9600536,30283,70755
Closure,9600537,30283,70755
Closure,9600538,30285,70757
Closure,9600539,30285,70757
Closure,9700331,24985,67711
Closure,9700332,24985,67711
Closure,9700333,24985,67711
Closure,9700334,24985,67711
Closure,9700335,24985,67711
Closure,9800110,28213,66432
Closure,9800111,28213,66432
Closure,9800112,28213,66432
Closure,9800113,28213,66432
Closure,9800114,28212,66431
Closure,9800115,28213,66432
Closure,9800116,28213,66432
Closure,9800117,28213,66432
Closure,9800226,28213,66432
Closure,9800227,28213,66432
Closure,9800228,28213,66432
Closure,9800229,28213,66432
Closure,9800230,28213,66432
Closure,9800231,28213,66432
Closure,9800232,28213,66432
Closure,9800233,28212,66431
Closure,9800234,28213,66432
Closure,9800235,28213,66432
Closure,9800236,28213,66432
Closure,9800237,28211,66430
Closure,9800238,28211,66430
Closure,9900007,24860,66406
Closure,9900008,24859,66405
Closure,9900009,24859,66405
Closure,9900010,24858,66404
Closure,9900011,24858,66404
Closure,9900012,24857,66403
Closure,9900013,24857,66403
Closure,9900014,24856,66402
Closure,9900015,24856,66402
Closure,9900016,24856,66402
Closure,9900049,24860,66406
Closure,9900050,24860,66406
Closure,9900055,24860,66406
Closure,9900056,24860,66406
Closure,9900057,24860,66406
Closure,9900058,24859,66405
Closure,9900059,24859,66405
Closure,9900060,24859,66405
Closure,9900061,24859,66405
Closure,10000014,24827,66200
Closure,10000015,24827,66200
Closure,10000016,24827,66200
Closure,10000017,24827,66200
Closure,10000018,24827,66200
Closure,10000019,24826,66199
Closure,10000020,24826,66199
Closure,10000021,24826,66199
Closure,10000022,24827,66200
Closure,10000023,24827,66200
